factor,AME,SE,z,p,lower,upper
Asian population %,-0.0209,0.0044,-4.7009,0,-0.0296,-0.0122
Black population %,0.0032,0.0003,10.1404,0,0.0026,0.0038
Foreign Born population %,-0.0007,0.0003,-2.0135,0.0441,-0.0013,0
HOLC Grade B,-0.021,0.0338,-0.6206,0.5348,-0.0873,0.0453
HOLC Grade C,0.0019,0.0326,0.059,0.953,-0.062,0.0659
HOLC Grade D,0.0528,0.0348,1.5152,0.1297,-0.0155,0.1211
% of Mobile Homes,0.0239,0.0051,4.659,0,0.0138,0.0339
% of Houses Built in 1980 or later,-0.0064,0.0007,-8.922,0,-0.0078,-0.005
% Below the Poverty Line,0.0072,0.0008,9.48,0,0.0057,0.0086
